,Rank,Team,Index,Wins,Losses,Ties,Points,Mask
421,188,Penn St. Harrisburg,14.6282193298335,10,6,3,33,True
194,189,Shenandoah,14.35954737586594,5,7,4,19,True
440,190,Knox,14.177348099963572,7,5,3,24,True
243,191,Rivier,13.968908819592562,9,5,6,33,True
411,192,Springfield,13.964828948218814,6,8,2,20,True
61,193,Bard,13.937673235975863,8,6,3,27,True
461,194,Southern Me.,13.638778463355658,5,4,8,23,True
28,195,Neb. Wesleyan,13.579600296308579,5,7,5,20,True
97,196,La Verne,13.547676880988195,7,7,5,26,True
72,197,St. Lawrence,13.087278692315763,6,9,0,18,True
295,198,Marymount (VA),12.916925550803645,9,7,3,30,True
397,199,Centre,12.830811346266378,3,7,6,15,True
355,200,East. Mennonite,12.67737837951587,5,7,5,20,True
280,201,Trinity (CT),12.663759508141725,3,9,3,12,True
263,202,Arcadia,12.563494833728486,6,5,6,24,True
116,203,Hendrix,12.54542779479861,8,7,3,27,True
78,204,Hamline,12.525809414942474,9,8,3,30,True
217,205,Waynesburg,12.496275911485375,7,4,5,26,True
34,206,Piedmont,12.46506434523688,8,8,2,26,True
357,207,Westminster (MO),12.371225100471396,8,5,2,26,True
160,208,Brooklyn,12.291741019296524,10,5,1,31,True
214,209,Dominican (IL),11.973591215796,7,7,4,25,True
412,210,Roanoke,11.972716519420624,6,10,0,18,True
83,211,Eastern Conn. St.,11.915341162837862,7,7,2,23,True
482,212,Whitworth,11.790476039007315,7,5,5,26,True
98,213,Willamette,11.738154129946269,7,5,7,28,True
337,214,LeTourneau,11.708733132984376,7,7,5,26,True
242,215,Allegheny,11.501912191405008,9,8,3,30,True
229,216,Greensboro,11.419832436527125,7,6,4,25,True
262,217,MIT,11.418127277973623,3,8,4,13,True
136,218,Oswego St.,11.397493672917054,3,7,5,14,True
45,219,Rhodes,11.308066342685837,3,7,3,12,True
5,220,Oglethorpe,11.254436556489992,6,10,1,19,True
386,221,Franklin & Marshall,11.102233108068528,3,9,3,12,True
340,222,Hardin-Simmons,10.971209456681644,5,8,3,18,True
382,223,Claremont-M-S,10.909638576798628,4,8,6,18,True
388,224,Carroll (WI),10.898383423538855,5,10,2,17,True
31,225,Rensselaer,10.857995065433332,3,8,5,14,True
324,226,Webster,10.845548058915677,7,7,1,22,True
220,227,St. Joseph's (ME),10.809954637468874,8,8,1,25,True
353,228,Eastern,10.775527321088871,6,8,3,21,True
407,229,St. John Fisher,10.715797895047642,6,7,2,20,True
84,230,Russell Sage,10.697668588686232,9,7,2,29,True
151,231,Rhode Island Col.,10.68874989611509,4,8,6,18,True
255,232,Geneva,10.68745733338457,7,9,2,23,True
336,233,Millsaps,10.614350362104554,6,8,2,20,True
102,234,Simpson,10.594703065921497,5,7,6,21,True
458,235,Austin,10.438718394472255,6,7,4,22,True
144,236,LaGrange,10.38637008201598,5,4,7,22,True
43,237,Penn College,10.32123848182308,11,6,2,35,True
423,238,Husson,10.282170372071214,7,8,3,24,True
256,239,Baldwin Wallace,10.039794030035594,7,10,2,23,True
246,240,Dean,9.930027372059893,8,8,2,26,True
238,241,Norwich,9.884816891966569,6,5,4,22,True
66,242,SUNY Morrisville,9.859876280897415,5,8,3,18,True
376,243,Kean,9.81925761843305,3,10,4,13,True
213,244,Grinnell,9.783383726905427,6,8,3,21,True
240,245,Capital,9.680523150965673,4,8,3,15,True
349,246,Carthage,9.614971086094538,3,8,3,12,True
81,247,Muskingum,9.543067145832145,8,9,1,25,True
413,248,Brevard,9.44164349394979,5,5,3,18,True
122,249,Albertus Magnus,9.435185060143572,8,7,3,27,True
117,250,Lyon,9.26107251181929,9,7,3,30,True
445,251,Ursinus,9.250420807544053,4,9,2,14,True
371,252,Puget Sound,9.14977936098048,6,7,5,23,True
235,253,Averett,9.080299176463328,3,9,3,12,True
41,254,Caltech,8.951542109911154,7,9,1,22,True
190,255,Regis (MA),8.88090455296367,8,8,1,25,True
142,256,Cornell College,8.859850159591868,7,8,1,22,True
267,257,Hiram,8.825613855945116,7,7,3,24,True
271,258,Alvernia,8.709701525698852,3,8,6,15,True
437,259,Widener,8.706969320323735,1,8,6,9,True
249,260,Wash. & Jeff.,8.701155013932945,8,8,2,26,True
226,261,Clark (MA),8.565394333009355,4,8,3,15,True
351,262,Nazareth,8.55785520727777,6,7,3,21,True
291,263,Southern Va.,8.479143619540295,5,9,2,17,True
215,264,UMass Dartmouth,8.457608800648726,5,9,4,19,True
175,265,Manhattanville,8.36339783346204,7,10,1,22,True
154,266,SUNY Maritime,8.309563157262664,7,6,3,24,True
335,267,East Tex. Baptist,8.294604194794804,7,9,1,22,True
