,Rank,Team,Index,Wins,Losses,Points
134,275,Omaha,7.082638908054049,12,16,36
45,276,Dominican (CA),7.064604438848435,0,2,0
410,277,Oakwood,7.0531178208236325,0,2,0
82,278,Southern U.,6.938138279091562,16,16,48
11,279,Nicholls,6.919004898087161,14,19,42
116,280,Hampton,6.914940447089772,12,18,36
456,281,Stanton,6.870797470190246,0,2,0
120,282,Boston College,6.857829264039329,11,19,33
422,283,Rhodes,6.855251935512185,0,2,0
435,284,Howard Payne,6.834397642025084,0,2,0
67,285,Regent,6.766291543226044,0,2,0
84,286,South Dakota,6.759192582363346,15,15,45
224,287,Sacred Heart,6.753747580349829,13,19,39
111,288,Illinois Tech,6.7003585346576315,0,2,0
425,289,Bethel (TN),6.655829760170971,0,2,0
210,290,Longwood,6.643415651101488,15,16,45
421,291,Defiance,6.609067964393663,0,2,0
78,292,Alabama A&M,6.591841190421109,17,15,51
30,293,Rice,6.585593491978632,13,18,39
374,294,Dominican (IL),6.550910739818679,0,2,0
73,295,Prairie View,6.538005408157837,17,18,51
102,296,Whittier,6.472041122907748,0,2,0
400,297,West Ga.,6.471663051281577,14,16,42
37,298,San Fran. St.,6.430408859079306,0,2,0
434,299,Fisk,6.425686498774235,0,3,0
437,300,Texas Lutheran,6.418416010945434,0,2,0
420,301,Washington Col.,6.391592624951793,0,2,0
125,302,Bethany (WV),6.371178208313797,0,2,0
23,303,UNC Greensboro,6.311553829004133,14,19,42
371,304,American,6.28186613713193,15,15,45
375,305,Dartmouth,6.2759991085643945,10,16,30
301,306,Milwaukee,6.15881375864972,11,20,33
166,307,Calumet Col.,6.148864472817101,0,2,0
448,308,Eureka,6.130037961411236,0,2,0
110,309,Indiana St.,6.073186863212381,11,20,33
378,310,Lehigh,6.06554403734781,16,16,48
407,311,Old Dominion,6.063447263635238,11,20,33
170,312,Jarvis Christian,6.050243103107794,0,2,0
126,313,Charleston So.,6.03109695364757,13,16,39
69,314,Southern Va.,6.019255184742388,0,2,0
406,315,Radford,5.995779770779426,13,16,39
227,316,Georgia Tech,5.975498572843959,10,20,30
100,317,Penn St.-Abington,5.8850821487837575,0,2,0
443,318,Tenn. Wesleyan,5.866999186804751,0,2,0
384,319,Ky. Christian,5.861430074357305,0,3,0
427,320,William Carey,5.848321832918497,0,2,0
426,321,Haskell,5.84812162490594,0,2,0
402,322,Coastal Ga.,5.800651784779855,0,3,0
460,323,Penn St. Brandywine,5.782750727659765,0,2,0
412,324,Delaware,5.7191215785909195,10,19,30
418,325,Bryan,5.673933843850503,0,3,0
416,326,Bob Jones,5.668682660455029,0,3,0
446,327,JWU (Providence),5.646239970730715,0,2,0
39,328,Southern Utah,5.638074960603643,10,22,30
180,329,Boston U.,5.636708030811169,16,17,48
401,330,S'western Adventist,5.584959694064966,0,3,0
159,331,Mercyhurst,5.583691889371976,16,16,48
58,332,La Salle,5.568296824444611,8,23,24
352,333,Bellarmine,5.527228421370367,12,18,36
287,334,Florida A&M,5.506961604850451,13,15,39
61,335,CarolinaU,5.506890454037904,0,3,0
7,336,NJIT,5.495801706497016,15,17,45
436,337,Notre Dame (MD),5.436358785588221,0,3,0
148,338,South Dakota St.,5.411970816749397,11,18,33
216,339,Tennessee Tech,5.377050176875618,12,17,36
419,340,Elizabeth City St.,5.369363423500346,0,2,0
262,341,Idaho St.,5.327438024922813,11,20,33
86,342,USC Upstate,5.249617841446725,13,18,39
454,343,Elms,5.2430278543317135,0,2,0
277,344,Chattanooga,5.229304147840592,12,19,36
447,345,St. Xavier,5.216921699933834,0,2,0
2,346,East Carolina,5.216410958046237,11,20,33
408,347,Cleary,5.200113172651884,0,3,0
405,348,Jacksonville,5.158285234049281,11,19,33
165,349,Ark.-Pine Bluff,5.091841153145454,13,18,39
444,350,Trinity Baptist,5.07349787597304,0,2,0
15,351,N.C. A&T,4.9816093975256335,10,19,30
379,352,Oakland City,4.935684814757065,0,2,0
457,353,Brewton-Parker,4.916160048430017,0,2,0
219,354,Stetson,4.912678297154138,12,20,36
255,355,Louisiana,4.911910195323802,11,21,33
261,356,San Diego,4.880078118101361,11,21,33
142,357,Midway,4.858589903289239,0,3,0
141,358,Eastern Ky.,4.832365479711242,11,21,33
169,359,UIW,4.830940861993527,12,18,36
138,360,UC Riverside,4.82827992307715,9,22,27
413,361,UTEP,4.793183075664338,8,20,24
430,362,Dallas Christian,4.762777360709131,0,3,0
369,363,Western Mich.,4.761188477758665,9,20,27
322,364,San Jose St.,4.754770693898801,9,23,27
398,365,Cleveland St.,4.746227132652665,9,21,27
66,366,Norfolk St.,4.696577235235762,14,17,42
451,367,VTSU-Johnson,4.662285982416198,0,2,0
44,368,Sacramento St.,4.657619431120922,9,21,27
423,369,Coe,4.645308206341436,0,2,0
25,370,Eastern Ill.,4.621998112283923,11,20,33
382,371,Manhattan,4.620271822690117,11,20,33
392,372,Eastern Mich.,4.619812965104053,9,21,27
232,373,Wagner,4.604362391875173,12,16,36
20,374,Little Rock,4.590124107850015,11,20,33
123,375,Le Moyne,4.556860708784387,14,17,42
453,376,Manor,4.5279238260227075,0,2,0
281,377,Princeton,4.515002303506828,8,20,24
428,378,Misericordia,4.509459705065938,0,2,0
57,379,RIT,4.491547464749818,0,2,0
361,380,Houston Christian,4.408746927312814,11,20,33
149,381,Dakota St.,4.39930607625518,0,3,0
220,382,Fort Lauderdale,4.341274814241447,0,3,0
206,383,Georgia St.,4.318423874805492,9,21,27
113,384,Jackson St.,4.313311142237398,12,20,36
41,385,Long Beach St.,4.264167325785905,10,22,30
145,386,Grambling,4.19938163030236,12,19,36
226,387,UMass Lowell,4.155038659163137,12,18,36
455,388,Southern Wesleyan,4.151852053904178,0,3,0
411,389,Ball St.,4.149872386111959,9,19,27
396,390,Lamar University,4.147734798116803,10,19,30
103,391,Morgan St.,4.144113079579371,14,15,42
92,392,East Texas A&M,4.114416732516054,10,21,30
158,393,Loyola Chicago,4.07866223422867,8,24,24
194,394,N.C. Central,3.9926764244230966,13,17,39
438,395,Chaminade,3.918720455486051,0,3,0
167,396,New Haven,3.897916527014479,11,16,33
185,397,Brown,3.8885424199964977,9,18,27
445,398,SUNY Oneonta,3.8826962506689253,0,2,0
236,399,Justice Col.,3.8258667204668177,0,3,0
440,400,Worcester St.,3.7871504616436273,0,2,0
172,401,Northeastern,3.772322356052435,7,23,21
155,402,Texas Southern,3.770959063012827,11,17,33
121,403,The Citadel,3.645205860006197,10,22,30
389,404,Penn St.-Shenango,3.617659641365772,0,4,0
99,405,Loyola Maryland,3.590439078901181,12,19,36
273,406,Pepperdine,3.560482276853577,8,23,24
1,407,Evansville,3.542659247483221,7,25,21
13,408,East-West U.,3.5399156220369528,0,3,0
258,409,NIU,3.4646112275378944,7,21,21
153,410,Northwestern St.,3.4411596181892414,9,21,27
256,411,Southeastern La.,3.4162196571655814,9,21,27
321,412,Canisius,3.4077557755969097,9,20,27
351,413,Central Mich.,3.404397597056164,7,21,21
235,414,Northern Ariz.,3.404355105350655,8,21,24
333,415,Cheyney,3.189666303843299,0,2,0
399,416,Lincoln (CA),3.090154268917381,0,4,0
27,417,Oral Roberts,2.969220177896935,9,23,27
307,418,Champion Chris.,2.9644439545608288,0,5,0
403,419,Southwestern Christ.,2.956543970082897,0,3,0
310,420,Lafayette,2.9307728525013226,10,20,30
359,421,Holy Cross,2.922658534344202,10,21,30
90,422,North Ala.,2.884429542532753,7,21,21
260,423,South Carolina St.,2.857782059062551,10,21,30
9,424,Alcorn,2.854856191786381,9,23,27
104,425,Central Penn,2.8507708733970576,0,3,0
302,426,Niagara,2.7901165721229493,7,21,21
238,427,Stonehill,2.754771024877008,11,21,33
101,428,CSU Bakersfield,2.709414919473299,8,23,24
192,429,Bucknell,2.698110284421665,9,23,27
187,430,Alabama St.,2.6247028661300043,10,22,30
342,431,UAlbany,2.5448304154519357,9,20,27
356,432,Army West Point,2.5178519883977875,9,21,27
