,Rank,Team,Index,Wins,Losses,Ties,Points,Mask
46,232,Pitt.-Johnstown,3.2072795770604645,2,9,5,11,True
253,233,Staten Island,3.188682683975329,3,11,2,11,True
38,234,Mont. St. Billings,3.0437582294919485,3,15,0,9,True
276,235,UIndy,3.002519747180752,1,11,4,7,True
236,236,Michigan Tech,3.001715232411511,2,15,1,7,True
255,237,Allen,2.960181431465442,0,5,1,1,True
113,238,Davis & Elkins,2.958775369621924,2,11,5,11,True
86,239,Upper Iowa,2.9516086947271654,4,12,2,14,True
143,240,Albany St. (GA),2.9030169841030955,3,12,1,10,True
260,241,Erskine,2.673143733109047,3,10,2,11,True
21,242,Jamestown,2.6560349746724685,2,14,2,8,True
161,243,Newman,2.5818686975820575,2,14,2,8,True
87,244,Minn.-Crookston,2.541227720982664,2,13,3,9,True
88,245,Seton Hill,2.53789871888293,3,12,2,11,True
265,246,Bluefield St.,2.3939065274753677,3,11,1,10,True
228,247,MSU Moorhead,2.3486653899806,3,14,1,10,True
58,248,California (PA),2.3327638065980016,2,12,3,9,True
186,249,Ky. Wesleyan,2.262121252056197,1,14,3,6,True
63,250,West Liberty,2.1839600809437774,4,14,1,13,True
275,251,Post,1.7940621352144317,1,13,2,5,True
90,252,Mansfield,1.712639310953745,0,10,0,0,True
9,253,Southwest Minn. St.,1.605241665323645,3,16,0,9,True
142,254,Shorter,1.3696010178154552,1,12,2,5,True
74,255,Sul Ross St.,0.8092788399551795,2,16,0,6,True
127,256,N.M. Highlands,0.7619244833651562,1,15,0,3,True
205,257,Lincoln (PA),0.47713491477011527,0,15,1,1,True
289,258,Salem (WV),0.410530815675525,1,17,0,3,True
77,259,Eastern N.M.,0.3364103212634059,0,17,0,0,True
