,Rank,Team,Index,Wins,Losses,Ties,Points
231,190,210 FC,13.225792477015446,2,6,2,8
139,191,TKP Eagles,13.199781943367718,2,6,2,8
224,192,Next Level Soccer,13.029334039670136,4,6,1,13
248,193,Parkland Soccer Club,12.616078474421494,3,7,3,12
266,194,CH4BOLD FC,12.245541021060491,2,4,4,10
230,195,Corpus Christi FC-Sharks,11.978780415049439,3,7,0,9
77,196,Rebels FC,11.827158999020595,2,6,2,8
148,197,Dallas Deportivo FC,11.611743695075408,3,8,1,10
80,198,ASC Central Cal,11.279634651321174,3,7,0,9
112,199,Passaic FC,11.192995791773692,2,6,2,8
191,200,Pro-finish Management FC,10.744184019246383,4,7,1,13
265,201,3 Cities Football Club,10.675864470384143,1,6,3,6
6,202,Yuba FC,10.57347221890887,3,7,0,9
249,203,ISA,10.570971390729277,3,9,1,10
229,204,SA City SC,10.55208204882111,2,7,1,7
60,205,Magica Sokker Academy,10.353261932719072,1,5,4,7
138,206,Brevard SC,10.193628921524391,3,6,1,10
256,207,Fountain City FC,10.116263237046832,5,8,0,15
181,208,City SC Temecula,9.900224128698351,3,7,0,9
253,209,Philadelphia Lone Star FC,9.780616150952037,1,7,2,5
55,210,FC Hurst United,9.667939915214394,2,7,1,7
170,211,Cascadia United,9.602255649811577,3,8,0,9
146,212,FC Caliber,9.231140633448213,3,6,1,10
149,213,Coppell FC,9.176011973667316,2,8,0,6
74,214,Caribbean Football Club Academy,9.147854428377,2,5,3,9
15,215,International SC,8.928900376893454,2,8,0,6
147,216,Texas Spurs,8.211805657338735,1,8,1,4
175,217,Rip City Futbol Club (RCFC),8.113324121646478,3,7,0,9
157,218,Jackson Boom,8.105392770290308,2,6,2,8
174,219,Azzurri Storm SC,8.02115761617884,1,6,3,6
216,220,NC Ballers FC,7.842618580435384,3,8,1,10
99,221,United Stars Soccer,7.765955839095932,1,8,1,4
227,222,Davis Legacy,7.732559292170832,3,7,0,9
72,223,Hartford Athletic U19,7.535168967390258,0,5,5,5
34,224,Viva CV,7.4381418271316555,3,7,0,9
222,225,RSL Southern AZ,7.336362227070743,2,7,1,7
156,226,Memphis Boom,7.265882514921157,2,7,1,7
244,227,Future Soccer Academy,7.196178825291254,2,7,1,7
45,228,UMA FC,6.852001655347965,3,9,1,10
223,229,Phoenix Rising,6.628208040252147,0,6,4,4
188,230,C.F. San Rafael,6.2819848044988005,2,7,1,7
264,231,Greater Orlando Soccer Academy YF Premier,6.0654386462590635,1,7,2,5
69,232,Villanovence FC,5.856746748287096,1,7,2,5
127,233,Side FC 92,5.809192988070879,2,7,1,7
178,234,FC Balboa,5.639016850142864,2,8,0,6
136,235,Deportivo Lake Mary,5.63700540426497,2,8,0,6
118,236,Borderland United FC,5.5361408636527045,0,7,1,1
212,237,Independiente Los Angeles FC,5.458827916194483,1,9,0,3
23,238,IMG Academy,5.4306869097780455,1,8,1,4
51,239,FC Atlanta,5.33270686546597,1,8,4,7
66,240,Blazers Football Club,5.27233217050958,2,8,0,6
13,241,Lewiston Star FC,5.222848674794455,1,8,1,4
64,242,Villarreal CF VA,5.064949206315535,2,8,0,6
37,243,Northern Utah United,5.0487477622511285,1,7,2,5
11,244,Worcester Warriors FC,5.013271385018975,1,8,1,4
131,245,Arkansas Comets,4.944758867312453,2,8,0,6
161,246,Flatirons Rush Academy,4.858761308223829,0,6,2,2
46,247,Soccer Saves Lives FC,4.854608349314742,1,9,3,6
35,248,Utah Surf Soccer Premier,4.681403739881538,2,8,0,6
121,249,Tennessee Tempo FC II,4.65641486483624,1,8,1,4
261,250,117 FC Academy,4.565741243581475,2,11,0,6
257,251,Albion SC Atlanta,4.493753708609062,2,10,1,7
250,252,Florida Soccer Soldiers,4.469575668692841,0,11,2,2
159,253,Switchbacks FC II,4.469393345590766,0,6,2,2
87,254,VA Revolution Pro U23,4.092911701093177,1,8,0,3
117,255,Atlanta City FC,4.039453136516283,1,10,2,5
96,256,Chicago Strikers,3.91084245747491,1,9,0,3
93,257,Urbana City FC,3.694663216488212,1,9,0,3
133,258,Kissimmee FC,3.688068070686696,0,8,2,2
83,259,Laguna FC,3.639870177789118,0,9,1,1
128,260,Ryogoku Soccer Academy,3.416498895386519,1,8,1,4
1,261,Utah Rangers FC,3.3287842849223575,0,8,2,2
61,262,Magica Sokker Academy II,3.2389457848257863,0,9,1,1
180,263,Craq Intercontinental,3.084951550347567,1,9,0,3
239,264,Rockville Soccer Club,3.0056076746054696,0,9,0,0
259,265,Fort Myers City FC,2.9707480566690054,0,9,1,1
10,266,Dixon Leon SC,2.171451123996976,0,9,1,1
190,267,Rush United FC,2.064426708800415,1,11,0,3
218,268,De Deacon F.C,1.8097172157923571,0,11,1,1
241,269,Real New York FC,1.6837774875582017,0,10,0,0
168,270,Forest Grove Soccer Club,1.5745432881240273,0,10,0,0
145,271,Thurston County SA,1.2589669957511056,0,10,0,0
65,272,ODFC Cesena FC USA,1.1633260004393373,0,10,0,0
