,Rank,Team,Index,Wins,Losses,Points
366,359,Wagner,2.3307807895964303,10,11,30
65,360,Portland St.,2.3298170322921417,6,17,18
369,361,Indiana St.,2.310841288569356,7,14,21
86,362,Western Ky.,2.3028920597403078,5,17,15
136,363,Lafayette,2.2900740229208068,8,14,24
8,364,Siena,2.220586056000137,11,12,33
252,365,Milwaukee,2.188399991291052,6,17,18
281,366,Gardner-Webb,2.176367778953521,8,15,24
273,367,CSU Bakersfield,2.149593804729059,6,15,18
176,368,UC Riverside,2.13917878677062,5,15,15
232,369,Jackson St.,2.1085101331216474,6,16,18
286,370,Florida A&M,2.084788481898492,6,14,18
53,371,Houston Christian,2.0740238531269415,5,16,15
262,372,Wright St.,2.0463592005201723,7,17,21
321,373,Coppin St.,2.04375779671493,6,17,18
251,374,NIU,2.037823746276082,5,17,15
119,375,Boston College,1.9903283981489028,4,21,12
307,376,American,1.9881910909238427,6,17,18
9,377,Colgate,1.9481646245796003,5,17,15
154,378,Wichita St.,1.824732508970508,4,19,12
279,379,Detroit Mercy,1.8114188485975429,5,17,15
261,380,Tennessee St.,1.735477126135718,4,18,12
385,381,UNC Asheville,1.7261792151754967,7,14,21
81,382,Kansas City,1.7135323845737682,5,17,15
108,383,Evansville,1.703060185549333,6,18,18
401,384,Montreat,1.6742482888003871,0,2,0
156,385,Queens (NC),1.621508043042496,7,15,21
152,386,Eastern Ill.,1.602347130698675,4,20,12
1,387,Grambling,1.5998519637621258,5,16,15
21,388,Mercyhurst,1.5420819980541347,8,15,24
204,389,Akron,1.4519922851116496,3,17,9
319,390,UMass Lowell,1.4403340684743904,6,17,18
299,391,San Jose St.,1.3936235562750707,3,21,9
367,392,Hofstra,1.3578752824241065,3,17,9
360,393,Louisiana,1.3380829364461342,3,19,9
218,394,N.C. Central,1.3339436771890383,3,14,9
260,395,Manhattan,1.319044680391958,5,17,15
412,396,Livingstone,1.3041785182456525,0,3,0
55,397,North Dakota,1.2609565990905796,4,18,12
219,398,UNCW,1.2593666490312567,4,16,12
112,399,Mississippi Val.,1.2380310512599435,4,17,12
66,400,Chicago St.,1.1950570441102004,8,16,24
33,401,Saint Peter's,1.1814611825792753,5,17,15
169,402,Erskine,1.1686244168478106,0,3,0
174,403,Southeastern La.,1.1349577541811144,3,18,9
269,404,Long Beach St.,1.1110420423894936,3,19,9
340,405,Seattle U,1.0356695116998609,3,18,9
135,406,Rider,1.0100909381317873,5,18,15
168,407,USC Upstate,1.0026211657358655,6,16,18
99,408,A&M-Corpus Christi,0.9175792483460967,3,18,9
45,409,Morgan St.,0.8930534626222005,3,20,9
107,410,Bethune-Cookman,0.8178225882813266,4,18,12
387,411,South Carolina St.,0.7971426130523269,3,17,9
146,412,Stonehill,0.7765547461619282,7,15,21
317,413,Le Moyne,0.7205672810507099,6,17,18
83,414,New Orleans,0.6404792823189659,2,19,6
329,415,Buffalo,0.6313261803549557,2,20,6
342,416,Cal Poly,0.619987005494448,2,20,6
222,417,Bellarmine,0.5473580290130775,1,23,3
172,418,Omaha,0.5437517153848079,2,22,6
29,419,Canisius,0.5181128262764835,4,19,12
308,420,Delaware St.,0.5050197676359109,2,18,6
125,421,Western Caro.,0.4855153813578689,2,20,6
15,422,New Haven,0.4200540372947285,5,16,15
134,423,Presbyterian,0.40233385863193794,2,21,6
348,424,Prairie View,0.3465386556293959,1,19,3
278,425,Saint Francis,0.1742167090918543,2,19,6
37,426,Valparaiso,0.13732153284626566,0,24,0
201,427,Niagara,0.07553859709549843,0,23,0
354,428,Central Conn. St.,0.049375429810303136,0,22,0
